ko	map	pathway
K01516	map00730	Thiamine metabolism
K01518	map00240	Pyrimidine metabolism
K01520	map00240	Pyrimidine metabolism
K01523	map00340	Histidine metabolism
K01524	map00230	Purine metabolism
K01527	Unknown	Unknown
K01528	map05100	Bacterial invasion of epithelial cells
K01529	Unknown	Unknown
K01530	Unknown	Unknown
K01531	Unknown	Unknown
K01533	Unknown	Unknown
K01534	Unknown	Unknown
K01535	map00190	Oxidative phosphorylation
K01537	Unknown	Unknown
K01541	map00190	Oxidative phosphorylation
K01546	map02020	Two-component system
K01547	map02020	Two-component system
K01548	map02020	Two-component system
K01551	Unknown	Unknown
K01552	Unknown	Unknown
K01554	Unknown	Unknown
K01560	map00625	Chloroalkane and chloroalkene degradation
K01564	map00791	Atrazine degradation
K01567	Unknown	Unknown
K01568	map00010	Glycolysis / Gluconeogenesis
K01571	map00620	Pyruvate metabolism
K01572	map00620	Pyruvate metabolism
K01574	map00640	Propanoate metabolism
K01575	map00660	C5-Branched dibasic acid metabolism
K01577	map00630	Glyoxylate and dicarboxylate metabolism
K01579	map00770	Pantothenate and CoA biosynthesis
K01580	map04940	ABC transporters
K01581	map00480	Glutathione metabolism
K01582	map00960	Lys metabolism
K01583	map00330	Arginine and proline metabolism
K01585	map00330	Arginine and proline metabolism
K01586	map00300	Lysine biosynthesis
K01588	map00230	Purine metabolism
K01589	map00230	Purine metabolism
K01590	map00340	Histidine metabolism
K01591	map00240	Pyrimidine metabolism
K01592	map00950	Isoquinoline alkaloid biosynthesis
K01595	map00720	Pyruvate metabolism
K01596	map04964	Proximal tubule bicarbonate reclamation
K01597	map00900	Terpenoid backbone biosynthesis
K01598	map00770	Pantothenate and CoA biosynthesis
K01599	map00860	Porphyrin and chlorophyll metabolism
K01601	map00710	Carbon fixation in photosynthetic organisms
K01607	map00362	Benzoate degradation
K01609	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K01610	map00710	Glycolysis / Gluconeogenesis
K01611	map00330	Arginine and proline metabolism
K01613	map00564	Glycerophospholipid metabolism
K01615	map00650	Butanoate metabolism
K01616	Unknown	Unknown
K01619	map00030	Pentose phosphate pathway
K01620	map00260	Glycine, serine and threonine metabolism
K01621	map00710	Pentose phosphate pathway
K01623	map00710	Carbon fixation in photosynthetic organisms
K01624	map00710	Glycolysis / Gluconeogenesis
K01625	map00630	Glyoxylate and dicarboxylate metabolism
K01626	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K01627	map00540	Lipopolysaccharide biosynthesis
K01628	map00051	Fructose and mannose metabolism
K01629	map00051	Fructose and mannose metabolism
K01632	map00710	Pentose phosphate pathway
K01633	map00790	Folate biosynthesis
K01634	map00600	Sphingolipid metabolism
K01635	map00052	Galactose metabolism
K01636	Unknown	Unknown
K01637	map00630	Glyoxylate and dicarboxylate metabolism
K01639	map00520	Amino sugar and nucleotide sugar metabolism
K01641	map00900	Terpenoid backbone biosynthesis
K01643	map02020	Two-component system
K01644	map02020	Two-component system
K01646	map02020	Two-component system
K01647	map00630	Glyoxylate and dicarboxylate metabolism
K01649	map00620	Pyruvate metabolism
K01652	map00770	Pantothenate and CoA biosynthesis
K01653	map00770	Pantothenate and CoA biosynthesis
K01654	map00520	Amino sugar and nucleotide sugar metabolism
K01657	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K01658	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K01661	map00130	Quinone biosynthesis
K01662	map00900	Terpenoid backbone biosynthesis
K01664	map00790	Folate biosynthesis
K01665	map00790	Folate biosynthesis
K01666	map00622	Xylene degradation
K01667	map00910	Nitrogen metabolism
K01668	map00910	Nitrogen metabolism
K01669	Unknown	Unknown
K01673	map00910	Nitrogen metabolism
K01674	map00910	Nitrogen metabolism
K01676	map00720	Citrate cycle (TCA cycle)
K01677	map00720	Carbon fixation pathways in prokaryotes
K01678	map00720	Carbon fixation pathways in prokaryotes
K01679	map05211	Citrate cycle (TCA cycle)
K01681	map00720	Citrate cycle (TCA cycle)
K01682	map00720	Carbon fixation pathways in prokaryotes
K01684	map00052	Galactose metabolism
K01685	map00040	Pentose and glucuronate interconversions
K01686	map00040	Pentose and glucuronate interconversions
K01687	map00770	Pantothenate and CoA biosynthesis
K01689	map03018	RNA degradation
K01690	map00030	Pentose phosphate pathway
K01692	map00930	Caprolactam degradation
K01693	map00340	Histidine metabolism
K01694	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K01695	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K01696	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K01697	map00270	Cysteine and methionine metabolism
K01698	map00860	Porphyrin and chlorophyll metabolism
K01702	map00290	Valine, leucine and isoleucine biosynthesis
K01703	map00660	C5-Branched dibasic acid metabolism
K01704	map00660	C5-Branched dibasic acid metabolism
K01706	map00053	Ascorbate and aldarate metabolism
K01709	map00520	Amino sugar and nucleotide sugar metabolism
K01710	map01055	Biosynthesis of vancomycin group antibiotics
K01711	map00520	Amino sugar and nucleotide sugar metabolism
K01712	map00340	Histidine metabolism
K01713	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K01714	map00300	Lysine biosynthesis
K01715	map00720	Fatty acid biosynthesis
K01718	map00240	Pyrimidine metabolism
K01719	map00860	Porphyrin and chlorophyll metabolism
K01720	map00640	Propanoate metabolism
K01726	map00903	Limonene and pinene degradation
K01727	Unknown	Unknown
K01733	map00750	Vitamin B6 metabolism
K01734	map00620	Pyruvate metabolism
K01735	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K01736	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K01737	map00790	Folate biosynthesis
K01738	map00920	Sulfur metabolism
K01739	map00920	Sulfur metabolism
K01740	map00270	Cysteine and methionine metabolism
K01741	Unknown	Unknown
K01744	map00910	Nitrogen metabolism
K01745	map00910	Nitrogen metabolism
K01746	map00670	One carbon pool by folate
K01749	map00860	Porphyrin and chlorophyll metabolism
K01750	map00330	Arginine and proline metabolism
K01751	Unknown	Unknown
K01752	map00270	Cysteine and methionine metabolism
K01753	map00260	Glycine, serine and threonine metabolism
K01754	map00290	Valine, leucine and isoleucine biosynthesis
K01755	map00330	Arginine and proline metabolism
K01756	map00250	Alanine, aspartate and glutamate metabolism
K01758	map00910	Nitrogen metabolism
K01759	map04011	MAPK signaling pathway - yeast
K01760	map00920	Sulfur metabolism
K01761	map00450	Selenocompound metabolism
K01766	Unknown	Unknown
K01768	map04113	Meiosis - yeast
K01770	map00900	Terpenoid backbone biosynthesis
K01771	map00562	Inositol phosphate metabolism
K01772	map00860	Porphyrin metabolism
K01775	map00473	Alanine aspartate and glutamate metabolism
K01776	map00471	Alanine aspartate and glutamate metabolism
K01777	map00330	Arginine and proline metabolism
K01778	map00300	Lysine biosynthesis
K01779	map00250	Alanine, aspartate and glutamate metabolism
K01780	Unknown	Unknown
K01781	map00627	Aminobenzoate degradation
K01783	map00710	Pentose phosphate pathway
K01784	map00520	Amino sugar and nucleotide sugar metabolism
K01785	map00010	Glycolysis / Gluconeogenesis
K01786	map00040	Pentose and glucuronate interconversions
K01787	map00520	Amino sugar and nucleotide sugar metabolism
K01788	map00520	Amino sugar and nucleotide sugar metabolism
K01790	map00523	Polyketide sugar unit biosynthesis
K01791	map00520	Amino sugar and nucleotide sugar metabolism
K01795	Unknown	Unknown
K01796	map04146	Peroxisome
K01802	Unknown	Unknown
K01803	map00710	Glycolysis / Gluconeogenesis
K01804	map00040	Pentose and glucuronate interconversions
K01805	map00051	Fructose and mannose metabolism
K01807	map00710	Pentose phosphate pathway
K01808	map00710	Pentose phosphate pathway
K01809	map00520	Amino sugar and nucleotide sugar metabolism
K01810	map00520	Amino sugar and nucleotide sugar metabolism
K01811	Unknown	Unknown
K01812	map00040	Pentose and glucuronate interconversions
K01813	map00051	Fructose and mannose metabolism
K01814	map00340	Histidine metabolism
K01815	map00040	Pentose and glucuronate interconversions
K01817	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K01818	map00051	Fructose and mannose metabolism
K01819	map00052	Galactose metabolism
K01821	map00621	Dioxin degradation
K01823	map00900	Terpenoid backbone biosynthesis
K01825	map01040	Biosynthesis of unsaturated fatty acids
K01826	map00362	Benzoate degradation
K01828	Unknown	Unknown
K01829	Unknown	Unknown
K01834	map00680	Glycolysis / Gluconeogenesis
K01835	map00521	Streptomycin biosynthesis
K01838	map00500	Starch and sucrose metabolism
K01839	map00230	Purine metabolism
K01840	map00520	Amino sugar and nucleotide sugar metabolism
K01843	map00310	Lysine degradation
K01844	map00310	Lysine degradation
K01845	map00860	Porphyrin and chlorophyll metabolism
K01846	map00660	C5-Branched dibasic acid metabolism
K01847	map00720	Citrate cycle (TCA cycle)
K01848	map00720	Citrate cycle (TCA cycle)
K01849	map00720	Citrate cycle (TCA cycle)
K01850	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K01852	map00100	Steroid biosynthesis
K01854	Unknown	Unknown
K01856	map00623	Toluene degradation
K01857	map00362	Benzoate degradation
K01858	map00562	Inositol phosphate metabolism
K01866	map00970	Aminoacyl-tRNA biosynthesis
K01867	map00970	Aminoacyl-tRNA biosynthesis
K01868	map00970	Aminoacyl-tRNA biosynthesis
K01869	map00970	Aminoacyl-tRNA biosynthesis
K01870	map00970	Aminoacyl-tRNA biosynthesis
K01872	map00970	Aminoacyl-tRNA biosynthesis
K01873	map00970	Aminoacyl-tRNA biosynthesis
K01874	map00970	Aminoacyl-tRNA biosynthesis
K01875	map00970	Aminoacyl-tRNA biosynthesis
K01876	map00970	Aminoacyl-tRNA biosynthesis
K01878	map00970	Aminoacyl-tRNA biosynthesis
K01879	map00970	Aminoacyl-tRNA biosynthesis
K01880	map00970	Aminoacyl-tRNA biosynthesis
K01881	map00970	Aminoacyl-tRNA biosynthesis
K01883	map00970	Aminoacyl-tRNA biosynthesis
K01885	map00970	Aminoacyl-tRNA biosynthesis
K01886	map00970	Aminoacyl-tRNA biosynthesis
K01887	map00970	Aminoacyl-tRNA biosynthesis
K01889	map00970	Aminoacyl-tRNA biosynthesis
K01890	map00970	Aminoacyl-tRNA biosynthesis
K01892	map00970	Aminoacyl-tRNA biosynthesis
K01893	map00970	Aminoacyl-tRNA biosynthesis
K01894	Unknown	Unknown
K01895	map00720	Citrate cycle (TCA cycle)
K01897	map04920	Adipocytokine signaling pathway
K01902	map00720	Citrate cycle (TCA cycle)
K01903	map00720	Citrate cycle (TCA cycle)
K01905	map00640	Propanoate metabolism
K01906	map00780	Biotin metabolism
K01910	map02020	Two-component system
K01911	map00130	Ubiquinone and other terpenoid-quinone biosynthesis
K01912	map00360	Phenylalanine metabolism
K01914	map00910	Nitrogen metabolism
K01915	map04724	Alanine aspartate and glutamate metabolism
K01916	map00910	Nitrogen metabolism
K01918	map00770	Pantothenate and CoA biosynthesis
K01919	map00480	Glutathione metabolism
K01921	map00550	Peptidoglycan biosynthesis
K01922	map00770	Pantothenate and CoA biosynthesis
K01923	map00230	Purine metabolism
K01924	map00550	Peptidoglycan biosynthesis
K01925	map00550	Peptidoglycan biosynthesis
K01926	Unknown	Unknown
K01928	map00550	Peptidoglycan biosynthesis
K01929	map00550	Peptidoglycan biosynthesis
K01932	Unknown	Unknown
K01933	map00230	Purine metabolism
K01934	map00670	One carbon pool by folate
K01935	map00780	Biotin metabolism
K01937	map00240	Pyrimidine metabolism
K01938	map00720	One carbon pool by folate
K01939	map00250	Alanine, aspartate and glutamate metabolism
K01940	map00330	Arginine and proline metabolism
K01945	map00230	Purine metabolism
K01950	map00760	Nicotinate and nicotinamide metabolism
K01951	map00983	Drug metabolism - other enzymes
K01952	map00230	Purine metabolism
K01953	map00910	Nitrogen metabolism
K01955	map00250	Alanine, aspartate and glutamate metabolism
K01956	map00250	Alanine, aspartate and glutamate metabolism
K01958	map00620	Pyruvate metabolism
K01959	map00620	Pyruvate metabolism
K01960	map00620	Pyruvate metabolism
K01961	map00720	Carbon fixation pathways in prokaryotes
K01962	map00720	Carbon fixation pathways in prokaryotes
K01963	map00720	Carbon fixation pathways in prokaryotes
K01966	map00720	Citrate cycle (TCA cycle)
K01971	map03450	Non-homologous end-joining
K01972	map03430	Mismatch repair
K01976	Unknown	Unknown
K01989	Unknown	Unknown
K01990	Unknown	Unknown
K01991	Unknown	Unknown
K01992	Unknown	Unknown
K01993	Unknown	Unknown
K01995	map02010	ABC transporters
K01996	map02010	ABC transporters
K01997	map02010	ABC transporters
K01998	map02010	ABC transporters
K01999	map02010	ABC transporters
K02000	map02010	ABC transporters
K02002	map02010	ABC transporters
K02003	Unknown	Unknown
K02004	Unknown	Unknown
K02005	Unknown	Unknown
K02006	map02010	ABC transporters
K02007	map02010	ABC transporters
K02008	map02010	ABC transporters
K02009	map02010	ABC transporters
K02010	map02010	ABC transporters
K02011	map02010	ABC transporters
K02012	Unknown	Iron acquisition
K02013	map02010	ABC transporters
K02014	Unknown	Unknown
K02015	map02010	ABC transporters
K02016	map02010	ABC transporters
K02017	map02010	ABC transporters
K02018	map02010	ABC transporters
K02019	Unknown	Unknown
K02020	map02010	ABC transporters
K02021	Unknown	Unknown
K02022	Unknown	Unknown
K02023	Unknown	Unknown
K02025	Unknown	Unknown
K02026	Unknown	Unknown
K02027	Unknown	Unknown
K02028	Unknown	Unknown
K02029	Unknown	Unknown
K02030	Unknown	Unknown
K02031	map02010	ABC transporters
K02032	map02010	ABC transporters
K02033	map02010	ABC transporters
K02034	map02010	ABC transporters
K02035	map02010	ABC transporters
K02036	map02010	ABC transporters
K02037	map02010	ABC transporters
K02038	map02010	ABC transporters
K02039	Unknown	Unknown
K02040	map05152	Two-component system
K02041	map02010	ABC transporters
K02042	map02010	ABC transporters
K02044	map02010	ABC transporters
K02045	map02010	ABC transporters
K02047	map02010	ABC transporters
K02048	map02010	ABC transporters
K02049	map02010	ABC transporters
K02050	map02010	ABC transporters
K02051	map02010	ABC transporters
K02052	Unknown	Unknown
K02053	Unknown	Unknown
K02054	Unknown	Unknown
K02055	map02010	Putrescine/Spermidine transport
K02056	Unknown	Unknown
K02057	Unknown	Unknown
K02058	Unknown	Unknown
K02062	map02010	ABC transporters
K02063	map02010	ABC transporters
K02064	map02010	ABC transporters
K02065	Unknown	Unknown
K02066	Unknown	Unknown
K02067	Unknown	Unknown
K02068	Unknown	Iron homeostasis
K02069	Unknown	Iron homeostasis
K02071	map02010	ABC transporters
K02072	map02010	ABC transporters
K02073	map02010	ABC transporters
K02074	Unknown	Unknown
K02075	Unknown	Unknown
K02076	Unknown	Unknown
K02077	Unknown	Unknown
K02078	Unknown	Unknown
K02081	Unknown	Unknown
K02082	Unknown	Unknown
K02083	map00230	Purine metabolism
K02086	Unknown	Unknown
K02099	Unknown	Unknown
K02103	Unknown	Unknown
K02106	map02020	Two-component system
K02108	map00195	Photosynthesis
K02109	map00195	Photosynthesis
K02110	map00195	Photosynthesis
K02111	map00195	Photosynthesis
K02112	map00195	Photosynthesis
K02113	map00195	Photosynthesis
K02114	map00195	Photosynthesis
K02115	map00195	Photosynthesis
K02117	map00680	Oxidative phosphorylation
K02118	map00680	Oxidative phosphorylation
K02119	map00680	Oxidative phosphorylation
K02120	map00680	Oxidative phosphorylation
K02121	map00680	Oxidative phosphorylation
K02122	map00680	Oxidative phosphorylation
K02123	map00680	Oxidative phosphorylation
K02124	map00680	Oxidative phosphorylation
K02126	map05016	Huntington's disease
K02128	map05016	Huntington's disease
K02133	map05016	Huntington's disease
K02145	map05323	Rheumatoid arthritis
K02160	map00640	Propanoate metabolism
K02168	Unknown	Unknown
K02169	Unknown	Unknown
K02178	map04914	Progesterone-mediated oocyte maturation
K02181	map04111	Cell cycle - yeast
K02182	Unknown	Unknown
K02188	map00860	Porphyrin and chlorophyll metabolism
K02189	map00860	Porphyrin and chlorophyll metabolism
K02190	map00860	Porphyrin and chlorophyll metabolism
K02191	map00860	Porphyrin and chlorophyll metabolism
K02194	map02010	ABC transporters
K02195	map02010	ABC transporters
K02197	Unknown	Unknown
K02198	Unknown	Unknown
K02199	Unknown	Unknown
K02200	Unknown	Unknown
K02203	map00680	Methane metabolism
K02205	Unknown	Unknown
K02217	Unknown	Iron acquisition
K02221	Unknown	Unknown
K02224	map00860	Porphyrin and chlorophyll metabolism
K02226	map00860	Porphyrin and chlorophyll metabolism
K02227	map00860	Porphyrin and chlorophyll metabolism
K02230	map00860	Porphyrin and chlorophyll metabolism
K02231	map00860	Porphyrin and chlorophyll metabolism
K02232	map00860	Porphyrin and chlorophyll metabolism
K02233	map00860	Porphyrin and chlorophyll metabolism
K02234	map00860	Porphyrin and chlorophyll metabolism
K02236	Unknown	Unknown
K02237	Unknown	Extracellular DNA uptake
K02238	Unknown	Unknown
K02240	Unknown	Unknown
K02242	Unknown	Unknown
K02243	Unknown	Unknown
K02244	Unknown	Extracellular DNA uptake
K02245	Unknown	Unknown
K02246	Unknown	Unknown
K02248	Unknown	Extracellular DNA uptake
K02256	map05016	Huntington's disease
K02259	map02020	Two-component system
K02261	map05016	Huntington's disease
K02262	map05016	Huntington's disease
K02275	map00190	Oxidative phosphorylation
K02276	map00190	Oxidative phosphorylation
K02279	Unknown	Unknown
K02282	Unknown	Unknown
K02283	Unknown	Unknown
K02297	map00190	Oxidative phosphorylation
K02301	map00860	Porphyrin and chlorophyll metabolism
K02302	map00860	Porphyrin and chlorophyll metabolism
K02304	map00860	Porphyrin and chlorophyll metabolism
K02312	map01053	Biosynthesis of siderophore group nonribosomal peptides
K02313	map04112	DNA replication
K02314	map04112	DNA replication
K02315	Unknown	Unknown
K02316	map03030	DNA replication
K02334	Unknown	Unknown
K02335	map03440	Homologous recombination
K02336	Unknown	Unknown
K02337	map03440	Homologous recombination
K02338	map03440	Homologous recombination
K02340	map03440	Homologous recombination
K02341	map03440	Homologous recombination
K02342	map03440	Homologous recombination
K02343	map03440	Homologous recombination
K02346	Unknown	Unknown
K02348	Unknown	Unknown
K02355	Unknown	Unknown
K02356	Unknown	Unknown
K02357	Unknown	Unknown
K02358	map04626	Translation
K02361	map01053	Biosynthesis of siderophore group nonribosomal peptides
K02365	map04114	Oocyte meiosis
K02371	map00061	Fatty acid biosynthesis
K02372	map00061	Fatty acid biosynthesis
K02377	map00520	Amino sugar and nucleotide sugar metabolism
K02379	Unknown	Unknown
K02380	Unknown	Unknown
K02385	Unknown	Unknown
K02387	map02040	Flagellar assembly
K02388	map02040	Flagellar assembly
K02389	map02040	Flagellar assembly
K02390	map02040	Flagellar assembly
K02392	map02040	Flagellar assembly
K02395	Unknown	Unknown
K02396	map02040	Flagellar assembly
K02397	map02040	Flagellar assembly
K02398	map02040	Flagellar assembly
K02400	map02040	Flagellar assembly
K02401	map02040	Flagellar assembly
K02404	Unknown	Unknown
K02405	map02040	Flagellar assembly
K02406	map02040	Flagellar assembly
K02407	map02040	Flagellar assembly
K02408	map02040	Flagellar assembly
K02409	map02040	Flagellar assembly
K02410	map02040	Flagellar assembly
K02411	map02040	Flagellar assembly
K02412	map02040	Flagellar assembly
K02413	map02040	Flagellar assembly
K02414	map02040	Flagellar assembly
K02416	map02040	Flagellar assembly
K02417	map02040	Flagellar assembly
K02419	map02040	Flagellar assembly
K02420	map02040	Flagellar assembly
K02421	map02040	Flagellar assembly
K02422	map02040	Flagellar assembly
K02426	Unknown	Unknown
K02428	map00240	Pyrimidine metabolism
K02429	Unknown	Unknown
K02431	Unknown	Unknown
K02433	map00970	Aminoacyl-tRNA biosynthesis
K02434	map00970	Aminoacyl-tRNA biosynthesis
K02435	map00970	Aminoacyl-tRNA biosynthesis
K02436	Unknown	Unknown
K02437	Unknown	Unknown
K02438	Unknown	Unknown
K02440	Unknown	Unknown
K02441	Unknown	Unknown
K02443	Unknown	Unknown
K02444	map00051	Fructose metabolism
K02445	Unknown	Unknown
K02446	map00710	Glycolysis / Gluconeogenesis
K02453	map03070	Bacterial secretion system
K02454	map03070	Bacterial secretion system
K02455	map03070	Bacterial secretion system
K02464	map03070	Bacterial secretion system
K02468	Unknown	Unknown
K02469	Unknown	Unknown
K02470	Unknown	Unknown
K02471	map02010	ABC transporters
K02472	map00520	Amino sugar and nucleotide sugar metabolism
K02474	map00520	Amino sugar and nucleotide sugar metabolism
K02475	Unknown	Unknown
K02476	Unknown	Unknown
K02477	Unknown	Unknown
K02478	Unknown	Unknown
K02479	Unknown	Unknown
K02480	Unknown	Unknown
K02481	Unknown	Unknown
K02482	Unknown	Unknown
K02483	Unknown	Unknown
K02484	Unknown	Unknown
K02488	map04112	Cell cycle - Caulobacter
K02492	map00860	Porphyrin and chlorophyll metabolism
K02493	Unknown	Unknown
K02495	map00860	Porphyrin and chlorophyll metabolism
K02499	Unknown	Unknown
K02500	map00340	Histidine metabolism
K02501	map00340	Histidine metabolism
K02503	Unknown	Unknown
K02504	Unknown	Unknown
K02507	Unknown	Unknown
K02509	map00350	Tyrosine metabolism
K02510	map00350	Tyrosine metabolism
K02511	Unknown	Unknown
K02517	map00540	Lipopolysaccharide biosynthesis
K02518	Unknown	Unknown
K02519	Unknown	Unknown
K02520	Unknown	Unknown
K02521	Unknown	Unknown
K02523	map00900	Terpenoid backbone biosynthesis
K02525	Unknown	Unknown
K02526	Unknown	Unknown
K02527	map00540	Lipopolysaccharide biosynthesis
K02528	Unknown	Unknown
K02529	Unknown	Unknown
K02530	Unknown	Lactose metabolism
K02531	Unknown	Unknown
K02532	Unknown	Unknown
K02533	Unknown	Unknown
K02535	map00540	Lipopolysaccharide biosynthesis
K02536	map00540	Lipopolysaccharide biosynthesis
K02538	Unknown	Unknown
K02542	map04113	Meiosis - yeast
K02543	map04113	Meiosis - yeast
K02545	map00312	beta-Lactam resistance
K02548	map00130	Vitamin K2 biosynthesis
K02549	map00130	Ubiquinone and other terpenoid-quinone biosynthesis
K02551	map00130	Ubiquinone and other terpenoid-quinone biosynthesis
K02552	map01053	Biosynthesis of siderophore group nonribosomal peptides
K02553	Unknown	Unknown
K02555	map04111	Cell cycle - yeast
K02556	map02040	Flagellar assembly
K02557	map02040	Flagellar assembly
K02563	map04112	Peptidoglycan biosynthesis
K02564	map00520	Amino sugar and nucleotide sugar metabolism
K02565	Unknown	Unknown
K02566	Unknown	Unknown
K02567	map00910	Nitrogen metabolism
K02574	map00910	Nitrogen metabolism
K02575	Unknown	Unknown
K02584	map02020	Two-component system
K02586	map00910	Nitrogen metabolism
K02587	map00910	Nitrogen metabolism
K02588	map00910	Nitrogen metabolism
K02594	map00910	Nitrogen metabolism
K02598	Unknown	Unknown
K02600	Unknown	Unknown
K02601	Unknown	Unknown
K02603	map04113	Meiosis - yeast
K02604	map04113	Meiosis - yeast
K02614	Unknown	Unknown
K02617	Unknown	Unknown
K02619	map00790	Folate biosynthesis
K02621	Unknown	Unknown
K02622	Unknown	Unknown
K02626	map00330	Arginine and proline metabolism
K02646	map04111	Cell cycle - yeast
K02647	Unknown	Unknown
K02650	map02020	Two-component system
K02652	Unknown	Unknown
K02653	Unknown	Unknown
K02654	Unknown	Unknown
K02657	map02020	Two-component system
K02662	Unknown	Unknown
K02666	Unknown	Unknown
K02667	map02020	Two-component system
K02669	Unknown	Unknown
K02677	map05223	Non-small cell lung cancer
K02686	map03440	Homologous recombination
K02687	Unknown	Unknown
K02688	Unknown	Unknown
K02726	map03050	Proteasome
K02739	map03050	Proteasome
K02744	map02060	Phosphotransferase system (PTS)
K02745	map02060	Phosphotransferase system (PTS)
K02746	map02060	Phosphotransferase system (PTS)
K02747	map02060	Phosphotransferase system (PTS)
K02750	map02060	Phosphotransferase system (PTS)
K02757	map02060	Phosphotransferase system (PTS)
K02759	map02060	Phosphotransferase system (PTS)
K02760	map02060	Phosphotransferase system (PTS)
K02761	map02060	Phosphotransferase system (PTS)
K02765	map02060	Phosphotransferase system (PTS)
K02768	map02060	Phosphotransferase system (PTS)
K02769	map02060	Phosphotransferase system (PTS)
K02770	map02060	Phosphotransferase system (PTS)
K02771	map02060	Phosphotransferase system (PTS)
K02773	map02060	Phosphotransferase system (PTS)
K02774	map02060	Phosphotransferase system (PTS)
K02775	map02060	Phosphotransferase system (PTS)
K02777	map02060	Phosphotransferase system (PTS)
K02779	map02060	Phosphotransferase system (PTS)
K02781	map02060	Phosphotransferase system (PTS)
K02783	map02060	Phosphotransferase system (PTS)
K02784	map02060	Phosphotransferase system (PTS)
K02786	map02060	Phosphotransferase system (PTS)
K02788	map02060	Phosphotransferase system (PTS)
K02791	map02060	Phosphotransferase system (PTS)
K02793	map02060	Phosphotransferase system (PTS)
K02794	map02060	Phosphotransferase system (PTS)
K02795	map02060	Phosphotransferase system (PTS)
K02796	map02060	Phosphotransferase system (PTS)
K02798	map02060	Phosphotransferase system (PTS)
K02800	map02060	Phosphotransferase system (PTS)
K02804	map02060	Phosphotransferase system (PTS)
K02806	map02060	Phosphotransferase system (PTS)
K02808	map02060	Phosphotransferase system (PTS)
K02810	map02060	Phosphotransferase system (PTS)
K02813	map02060	Phosphotransferase system (PTS)
K02814	map02060	Phosphotransferase system (PTS)
K02815	map02060	Phosphotransferase system (PTS)
K02819	map02060	Phosphotransferase system (PTS)
K02821	map02060	Phosphotransferase system (PTS)
K02822	map02060	Phosphotransferase system (PTS)
K02823	Unknown	Unknown
K02824	Unknown	Unknown
K02825	map00240	Pyrimidine metabolism
K02826	map00190	Oxidative phosphorylation
K02827	map00190	Oxidative phosphorylation
K02828	map00190	Oxidative phosphorylation
K02834	Unknown	Unknown
K02835	Unknown	Unknown
K02836	Unknown	Unknown
K02837	Unknown	Unknown
K02838	Unknown	Unknown
K02840	map00540	Lipopolysaccharide biosynthesis
K02841	map00540	Lipopolysaccharide biosynthesis
K02843	map00540	Lipopolysaccharide biosynthesis
K02847	map00540	Lipopolysaccharide biosynthesis
K02849	map00540	Lipopolysaccharide biosynthesis
K02850	map00540	Lipopolysaccharide biosynthesis
K02851	Unknown	Unknown
K02852	Unknown	Unknown
K02856	Unknown	Unknown
K02858	map00740	Riboflavin metabolism
K02859	map00740	Riboflavin metabolism
K02860	Unknown	Unknown
K02863	map03010	Ribosome
K02864	map03010	Ribosome
K02865	map03010	Ribosome
K02866	map03010	Ribosome
K02867	map03010	Ribosome
K02871	map03010	Ribosome
K02872	map03010	Ribosome
K02873	map03010	Ribosome
K02874	map03010	Ribosome
K02876	map03010	Ribosome
K02877	map03010	Ribosome
K02878	map03010	Ribosome
K02879	map03010	Ribosome
K02880	map03010	Ribosome
K02881	map03010	Ribosome
K02883	map03010	Ribosome
K02884	map03010	Ribosome
K02885	map03010	Ribosome
K02886	map03010	Ribosome
K02887	map03010	Ribosome
K02888	map03010	Ribosome
K02890	map03010	Ribosome
K02892	map03010	Ribosome
K02895	map03010	Ribosome
K02897	map03010	Ribosome
K02899	map03010	Ribosome
K02902	map03010	Ribosome
K02904	map03010	Ribosome
K02905	map03010	Ribosome
K02906	map03010	Ribosome
K02907	map03010	Ribosome
K02909	map03010	Ribosome
K02911	map03010	Ribosome
K02913	map03010	Ribosome
K02914	map03010	Ribosome
K02916	map03010	Ribosome
K02920	map03010	Ribosome
K02922	map03010	Ribosome
K02926	map03010	Ribosome
K02931	map03010	Ribosome
K02932	map03010	Ribosome
K02933	map03010	Ribosome
K02935	map03010	Ribosome
K02936	map03010	Ribosome
K02938	map03010	Ribosome
K02939	map03010	Ribosome
K02941	map03010	Ribosome
K02943	map03010	Ribosome
K02945	map03010	Ribosome
K02946	map03010	Ribosome
K02948	map03010	Ribosome
K02949	map03010	Ribosome
K02950	map03010	Ribosome
K02952	map03010	Ribosome
K02954	map03010	Ribosome
K02955	map03010	Ribosome
K02956	map03010	Ribosome
K02959	map03010	Ribosome
K02961	map03010	Ribosome
K02963	map03010	Ribosome
K02964	map03010	Ribosome
K02965	map03010	Ribosome
