ko	map	pathway
K02405	map02040	Flagellar assembly
K02406	map02040	Flagellar assembly
K02407	map02040	Flagellar assembly
K02409	map02040	Flagellar assembly
K02410	map02040	Flagellar assembly
K02412	map02040	Flagellar assembly
K02414	map02040	Flagellar assembly
K02416	map02040	Flagellar assembly
K02417	map02040	Flagellar assembly
K02422	map02040	Flagellar assembly
K02429	Unknown	Unknown
K02431	Unknown	Unknown
K02433	map00970	Aminoacyl-tRNA biosynthesis
K02434	map00970	Aminoacyl-tRNA biosynthesis
K02435	map00970	Aminoacyl-tRNA biosynthesis
K02437	Unknown	Unknown
K02438	Unknown	Unknown
K02440	Unknown	Unknown
K02444	map00051	Fructose metabolism
K02445	Unknown	Unknown
K02446	map00710	Glycolysis / Gluconeogenesis
K02469	Unknown	Unknown
K02470	Unknown	Unknown
K02474	map00520	Amino sugar and nucleotide sugar metabolism
K02477	Unknown	Unknown
K02478	Unknown	Unknown
K02479	Unknown	Unknown
K02481	Unknown	Unknown
K02483	Unknown	Unknown
K02484	Unknown	Unknown
K02493	Unknown	Unknown
K02495	map00860	Porphyrin and chlorophyll metabolism
K02499	Unknown	Unknown
K02503	Unknown	Unknown
K02507	Unknown	Unknown
K02517	map00540	Lipopolysaccharide biosynthesis
K02518	Unknown	Unknown
K02519	Unknown	Unknown
K02520	Unknown	Unknown
K02523	map00900	Terpenoid backbone biosynthesis
K02525	Unknown	Unknown
K02526	Unknown	Unknown
K02527	map00540	Lipopolysaccharide biosynthesis
K02528	Unknown	Unknown
K02529	Unknown	Unknown
K02530	Unknown	Lactose metabolism
K02535	map00540	Lipopolysaccharide biosynthesis
K02536	map00540	Lipopolysaccharide biosynthesis
K02548	map00130	Vitamin K2 biosynthesis
K02556	map02040	Flagellar assembly
K02557	map02040	Flagellar assembly
K02563	map04112	Peptidoglycan biosynthesis
K02564	map00520	Amino sugar and nucleotide sugar metabolism
K02565	Unknown	Unknown
K02587	map00910	Nitrogen metabolism
K02588	map00910	Nitrogen metabolism
K02600	Unknown	Unknown
K02601	Unknown	Unknown
K02621	Unknown	Unknown
K02622	Unknown	Unknown
K02647	Unknown	Unknown
K02652	Unknown	Unknown
K02687	Unknown	Unknown
K02744	map02060	Phosphotransferase system (PTS)
K02745	map02060	Phosphotransferase system (PTS)
K02746	map02060	Phosphotransferase system (PTS)
K02747	map02060	Phosphotransferase system (PTS)
K02750	map02060	Phosphotransferase system (PTS)
K02760	map02060	Phosphotransferase system (PTS)
K02761	map02060	Phosphotransferase system (PTS)
K02768	map02060	Phosphotransferase system (PTS)
K02770	map02060	Phosphotransferase system (PTS)
K02773	map02060	Phosphotransferase system (PTS)
K02774	map02060	Phosphotransferase system (PTS)
K02775	map02060	Phosphotransferase system (PTS)
K02777	map02060	Phosphotransferase system (PTS)
K02781	map02060	Phosphotransferase system (PTS)
K02784	map02060	Phosphotransferase system (PTS)
K02786	map02060	Phosphotransferase system (PTS)
K02788	map02060	Phosphotransferase system (PTS)
K02791	map02060	Phosphotransferase system (PTS)
K02793	map02060	Phosphotransferase system (PTS)
K02794	map02060	Phosphotransferase system (PTS)
K02795	map02060	Phosphotransferase system (PTS)
K02796	map02060	Phosphotransferase system (PTS)
K02804	map02060	Phosphotransferase system (PTS)
K02806	map02060	Phosphotransferase system (PTS)
K02821	map02060	Phosphotransferase system (PTS)
K02822	map02060	Phosphotransferase system (PTS)
K02823	Unknown	Unknown
K02824	Unknown	Unknown
K02825	map00240	Pyrimidine metabolism
K02834	Unknown	Unknown
K02835	Unknown	Unknown
K02836	Unknown	Unknown
K02837	Unknown	Unknown
K02838	Unknown	Unknown
K02859	map00740	Riboflavin metabolism
K02860	Unknown	Unknown
K02863	map03010	Ribosome
K02864	map03010	Ribosome
K02867	map03010	Ribosome
K02871	map03010	Ribosome
K02874	map03010	Ribosome
K02876	map03010	Ribosome
K02878	map03010	Ribosome
K02879	map03010	Ribosome
K02881	map03010	Ribosome
K02884	map03010	Ribosome
K02886	map03010	Ribosome
K02887	map03010	Ribosome
K02888	map03010	Ribosome
K02890	map03010	Ribosome
K02892	map03010	Ribosome
K02895	map03010	Ribosome
K02897	map03010	Ribosome
K02899	map03010	Ribosome
K02902	map03010	Ribosome
K02904	map03010	Ribosome
K02906	map03010	Ribosome
K02907	map03010	Ribosome
K02909	map03010	Ribosome
K02911	map03010	Ribosome
K02913	map03010	Ribosome
K02914	map03010	Ribosome
K02916	map03010	Ribosome
K02926	map03010	Ribosome
K02931	map03010	Ribosome
K02933	map03010	Ribosome
K02935	map03010	Ribosome
K02939	map03010	Ribosome
K02945	map03010	Ribosome
K02946	map03010	Ribosome
K02948	map03010	Ribosome
K02950	map03010	Ribosome
K02952	map03010	Ribosome
K02954	map03010	Ribosome
K02956	map03010	Ribosome
K02959	map03010	Ribosome
K02961	map03010	Ribosome
K02963	map03010	Ribosome
K02965	map03010	Ribosome
K02967	map03010	Ribosome
K02968	map03010	Ribosome
K02970	map03010	Ribosome
K02982	map03010	Ribosome
K02986	map03010	Ribosome
K02988	map03010	Ribosome
K02990	map03010	Ribosome
K02992	map03010	Ribosome
K02994	map03010	Ribosome
K02996	map03010	Ribosome
K03040	map03020	RNA polymerase
K03043	map03020	RNA polymerase
K03046	map03020	RNA polymerase
K03048	map03020	RNA polymerase
K03060	map03020	RNA polymerase
K03070	map03070	Bacterial secretion system
K03072	map03070	Bacterial secretion system
K03073	map03070	Bacterial secretion system
K03074	map03070	Bacterial secretion system
K03075	map03070	Bacterial secretion system
K03076	map03070	Bacterial secretion system
K03079	map00053	Ascorbate and aldarate metabolism
K03081	map00040	Pentose and glucuronate interconversions
K03086	map03020	RNA polymerase
K03088	map03020	RNA polymerase
K03091	map03020	RNA polymerase
K03092	map02040	Flagellar assembly
K03100	map03060	Protein export
K03101	map03060	Protein export
K03106	map03070	Bacterial secretion system
K03110	map03070	Bacterial secretion system
K03111	map03440	Homologous recombination
K03118	map03070	Bacterial secretion system
K03146	Unknown	Unknown
K03147	map00730	Thiamine metabolism
K03148	map04122	Sulfur relay system
K03149	map00730	Thiamine metabolism
K03150	map00730	Thiamine metabolism
K03151	map04122	Sulfur relay system
K03152	Unknown	Unknown
K03153	map00730	Thiamine metabolism
K03154	map04122	Sulfur relay system
K03168	Unknown	Unknown
K03169	Unknown	Unknown
K03177	Unknown	Unknown
K03183	map00130	Ubiquinone biosynthesis
K03187	Unknown	Unknown
K03188	Unknown	Unknown
K03191	map05120	Epithelial cell signaling in Helicobacter pylori infection
K03210	map03070	Bacterial secretion system
K03216	Unknown	Unknown
K03217	map03070	Bacterial secretion system
K03218	Unknown	Unknown
K03269	map00540	Lipopolysaccharide biosynthesis
K03270	map00540	Lipopolysaccharide biosynthesis
K03271	map00540	Lipopolysaccharide biosynthesis
K03272	map00540	Lipopolysaccharide biosynthesis
K03273	map00540	Lipopolysaccharide biosynthesis
K03281	Unknown	Unknown
K03282	Unknown	Osmotic stress adaptation
K03284	Unknown	Magnesium transport
K03286	Unknown	Unknown
K03287	Unknown	Unknown
K03292	Unknown	Unknown
K03293	Unknown	Unknown
K03294	Unknown	Unknown
K03295	Unknown	Unknown
K03296	Unknown	Unknown
K03297	Unknown	Multidrug resistance - efflux pump
K03303	Unknown	Lactate metabolism
K03304	Unknown	Unknown
K03305	Unknown	Unknown
K03306	Unknown	Unknown
K03309	Unknown	Unknown
K03310	Unknown	Unknown
K03311	Unknown	Unknown
K03312	Unknown	Unknown
K03313	map00680	Sodium-proton antiport
K03315	map00680	Sodium-proton antiport
K03319	Unknown	Unknown
K03320	Unknown	Unknown
K03322	Unknown	Manganese acquisition
K03324	Unknown	Unknown
K03327	Unknown	Unknown
K03328	Unknown	Unknown
K03340	map00300	Lysine biosynthesis
K03346	Unknown	Unknown
K03364	map04914	Progesterone-mediated oocyte maturation
K03367	map05150	Cationic antimicrobial peptide (CAMP) resistance
K03386	Unknown	Unknown
K03387	Unknown	Unknown
K03402	Unknown	Unknown
K03406	map02030	Bacterial chemotaxis
K03407	map02030	Bacterial chemotaxis
K03408	map02030	Bacterial chemotaxis
K03410	map02030	Bacterial chemotaxis
K03411	map02030	Bacterial chemotaxis
K03412	map02030	Bacterial chemotaxis
K03413	map02030	Bacterial chemotaxis
K03415	map02030	Bacterial chemotaxis
K03424	Unknown	Unknown
K03427	Unknown	Unknown
K03429	map00561	Glycerolipid metabolism
K03431	map00520	Amino sugar and nucleotide sugar metabolism
K03436	map00051	Fructose metabolism
K03437	Unknown	Unknown
K03438	Unknown	Unknown
K03439	Unknown	Unknown
K03442	Unknown	Osmotic stress adaptation
K03445	Unknown	Unknown
K03446	Unknown	Unknown
K03455	Unknown	Unknown
K03457	Unknown	Unknown
K03458	Unknown	Unknown
K03466	Unknown	Unknown
K03469	map03030	DNA replication
K03470	map03030	DNA replication
K03471	map03030	DNA replication
K03475	map02060	Phosphotransferase system (PTS)
K03476	map00053	Ascorbate and aldarate metabolism
K03478	Unknown	Unknown
K03481	Unknown	Unknown
K03483	Unknown	Unknown
K03491	Unknown	Unknown
K03492	Unknown	Unknown
K03495	Unknown	Unknown
K03496	Unknown	Unknown
K03497	Unknown	Unknown
K03498	Unknown	Unknown
K03499	Unknown	Unknown
K03500	Unknown	Unknown
K03501	Unknown	Unknown
K03517	map00760	Nicotinate and nicotinamide metabolism
K03521	Unknown	Unknown
K03522	Unknown	Unknown
K03523	Unknown	Unknown
K03524	map00780	Biotin metabolism
K03525	map00770	Pantothenate and CoA biosynthesis
K03526	map00900	Terpenoid backbone biosynthesis
K03527	map00900	Terpenoid backbone biosynthesis
K03529	Unknown	Unknown
K03530	Unknown	Unknown
K03531	map04112	Cell division
K03536	Unknown	Unknown
K03544	map04112	Clp-dependent proteolysis
K03545	Unknown	Unknown
K03546	Unknown	Unknown
K03547	Unknown	Unknown
K03548	Unknown	Unknown
K03549	Unknown	Unknown
K03550	map03440	Homologous recombination
K03551	map03440	Homologous recombination
K03553	map03440	Homologous recombination
K03555	map03430	Mismatch repair
K03559	Unknown	Unknown
K03561	Unknown	Unknown
K03564	Unknown	Unknown
K03565	Unknown	Unknown
K03569	Unknown	Unknown
K03570	Unknown	Unknown
K03571	Unknown	Unknown
K03572	map03430	Mismatch repair
K03574	Unknown	Unknown
K03575	map03410	Base excision repair
K03578	Unknown	Unknown
K03581	map03440	Homologous recombination
K03584	map03440	Homologous recombination
K03585	Unknown	Unknown
K03587	map00550	Peptidoglycan biosynthesis
K03588	map04112	Cell division
K03589	map04112	Cell division
K03590	map04112	Cell division
K03593	Unknown	Unknown
K03595	Unknown	Unknown
K03596	Unknown	Unknown
K03601	map03430	Mismatch repair
K03602	map03430	Mismatch repair
K03605	Unknown	Unknown
K03609	Unknown	Unknown
K03612	Unknown	Unknown
K03613	Unknown	Unknown
K03614	Unknown	Unknown
K03615	Unknown	Unknown
K03616	Unknown	Unknown
K03617	Unknown	Unknown
K03621	map00564	Glycerophospholipid metabolism
K03624	Unknown	Unknown
K03625	Unknown	Unknown
K03628	map03018	RNA degradation
K03629	map03440	Homologous recombination
K03630	Unknown	Unknown
K03631	Unknown	DNA damage repair
K03638	Unknown	Unknown
K03642	Unknown	Unknown
K03647	Unknown	Unknown
K03648	map05340	Primary immunodeficiency
K03650	Unknown	Unknown
K03652	map03410	Base excision repair
K03654	map03018	RNA degradation
K03655	map03440	Homologous recombination
K03657	map03430	Mismatch repair
K03664	Unknown	Unknown
K03665	Unknown	Unknown
K03667	Unknown	Unknown
K03671	Unknown	Unknown
K03684	Unknown	Unknown
K03685	map03008	Ribosome biogenesis in eukaryotes
K03686	Unknown	Unknown
K03687	Unknown	Unknown
K03688	map00130	Ubiquinone biosynthesis
K03695	Unknown	Unknown
K03696	Unknown	Unknown
K03697	Unknown	Unknown
K03698	Unknown	Unknown
K03699	Unknown	Unknown
K03700	Unknown	DNA damage repair
K03701	map03420	Nucleotide excision repair
K03702	map03420	Nucleotide excision repair
K03703	map03420	Nucleotide excision repair
K03704	Unknown	Unknown
K03705	Unknown	Unknown
K03707	map00730	Thiamine metabolism
K03708	Unknown	Unknown
K03710	Unknown	Unknown
K03711	Unknown	Unknown
K03712	Unknown	Unknown
K03713	Unknown	Unknown
K03715	map00561	Glycerolipid metabolism
K03718	Unknown	Unknown
K03719	Unknown	Unknown
K03721	Unknown	Unknown
K03722	Unknown	Unknown
K03723	map03420	Nucleotide excision repair
K03727	Unknown	Unknown
K03733	Unknown	Unknown
K03734	Unknown	Unknown
K03737	map00720	Citrate cycle (TCA cycle)
K03739	map05150	Cationic antimicrobial peptide (CAMP) resistance
K03740	map05150	Cationic antimicrobial peptide (CAMP) resistance
K03742	Unknown	Unknown
K03743	Unknown	Unknown
K03744	Unknown	Unknown
K03756	Unknown	Unknown
K03758	Unknown	Unknown
K03763	map03440	Homologous recombination
K03767	Unknown	Unknown
K03768	Unknown	Unknown
K03770	Unknown	Unknown
K03771	Unknown	Unknown
K03773	Unknown	Unknown
K03775	Unknown	Unknown
K03778	map00620	Pyruvate metabolism
K03783	map00760	Nicotinate and nicotinamide metabolism
K03784	map00760	Nicotinate and nicotinamide metabolism
K03785	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K03787	map00760	Nicotinate and nicotinamide metabolism
K03788	map00740	Riboflavin metabolism
K03789	Unknown	Unknown
K03797	Unknown	Unknown
K03798	Unknown	Unknown
K03799	Unknown	Unknown
K03800	map00785	Lipoic acid metabolism
K03803	Unknown	Unknown
K03816	map00230	Purine metabolism
K03817	Unknown	Unknown
K03832	Unknown	Unknown
K03837	Unknown	Unknown
K03839	Unknown	Unknown
K03855	Unknown	Unknown
K03856	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K03885	map00190	Oxidative phosphorylation
K03892	Unknown	Unknown
K03924	Unknown	Unknown
K03925	Unknown	Unknown
K03975	Unknown	Unknown
K03976	Unknown	Unknown
K03977	Unknown	Unknown
K03978	Unknown	Unknown
K03979	Unknown	Unknown
K03980	map00550	Peptidoglycan biosynthesis
K04027	Unknown	Unknown
K04041	map00710	Glycolysis / Gluconeogenesis
K04042	map00520	Amino sugar and nucleotide sugar metabolism
K04043	map05152	Molecular chaperones
K04047	Unknown	Unknown
K04066	map03440	Homologous recombination
K04068	Unknown	Unknown
K04069	Unknown	Unknown
K04072	map00650	Butanoate metabolism
K04074	Unknown	Unknown
K04075	map00970	Aminoacyl-tRNA biosynthesis
K04077	map05152	Molecular chaperones
K04078	Unknown	Unknown
K04079	map05215	Molecular chaperones
K04083	Unknown	Unknown
K04092	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K04094	Unknown	Unknown
K04096	Unknown	Unknown
K04113	map00362	Benzoate degradation
K04114	map00362	Benzoate degradation
K04485	Unknown	Unknown
K04487	map04122	Sulfur relay system
K04488	Unknown	Unknown
K04517	map00401	Novobiocin biosynthesis
K04564	map05016	ROS degradation
K04567	map00970	Aminoacyl-tRNA biosynthesis
K04654	Unknown	Unknown
K04655	Unknown	Unknown
K04656	Unknown	Unknown
K04720	map00860	Porphyrin and chlorophyll metabolism
K04744	Unknown	Unknown
K04753	Unknown	Unknown
K04758	Unknown	Unknown
K04759	Unknown	Unknown
K04761	Unknown	Unknown
K04763	Unknown	Unknown
K04773	Unknown	Unknown
K04774	Unknown	Unknown
K05275	map00750	Vitamin B6 metabolism
K05311	Unknown	Unknown
K05338	map02020	Two-component system
K05343	map00500	Starch and sucrose metabolism
K05346	Unknown	Unknown
K05350	map00940	Phenylpropanoid biosynthesis
K05364	map00550	Peptidoglycan biosynthesis
K05366	map00550	Peptidoglycan biosynthesis
K05499	Unknown	Unknown
K05515	map00550	Peptidoglycan biosynthesis
K05516	Unknown	Unknown
K05521	Unknown	Unknown
K05524	Unknown	Unknown
K05539	Unknown	Unknown
K05540	Unknown	Unknown
K05592	map03018	RNA degradation
K05606	map00720	Citrate cycle (TCA cycle)
K05807	Unknown	Unknown
K05808	Unknown	Unknown
K05810	Unknown	Unknown
K05813	map02010	ABC transporters
K05832	Unknown	Unknown
K05833	Unknown	Unknown
K05837	Unknown	Unknown
K05838	Unknown	Unknown
K05846	map02010	ABC transporters
K05847	map02010	ABC transporters
K05878	map00561	Glycerolipid metabolism
K05879	map00561	Glycerolipid metabolism
K05896	Unknown	Unknown
K05905	Unknown	Unknown
K05910	Unknown	Unknown
K05919	Unknown	Unknown
K05934	map00860	Porphyrin and chlorophyll metabolism
K05936	map00860	Porphyrin and chlorophyll metabolism
K05946	Unknown	Unknown
K05968	Unknown	Unknown
K05985	Unknown	Unknown
K05992	map00500	Starch and sucrose metabolism
K06020	Unknown	Unknown
K06023	Unknown	Unknown
K06024	Unknown	Unknown
K06036	Unknown	Unknown
K06041	Unknown	Unknown
K06076	Unknown	Unknown
K06131	map00564	Glycerophospholipid metabolism
K06142	Unknown	Unknown
K06147	Unknown	Unknown
K06148	map02010	ABC transporters
K06153	map00550	Peptidoglycan biosynthesis
K06155	Unknown	Unknown
K06158	Unknown	Unknown
K06168	Unknown	Unknown
K06173	Unknown	Unknown
K06178	Unknown	Unknown
K06179	Unknown	Unknown
K06180	Unknown	Unknown
K06183	Unknown	Unknown
K06187	map03440	Homologous recombination
K06188	Unknown	Unknown
K06189	Unknown	Unknown
K06191	Unknown	Unknown
K06198	Unknown	Unknown
K06199	Unknown	Unknown
K06200	Unknown	Unknown
K06201	Unknown	Unknown
K06206	Unknown	Unknown
K06207	Unknown	Unknown
K06209	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K06211	Unknown	Unknown
K06212	Unknown	Unknown
K06213	Unknown	Unknown
K06215	map00750	Vitamin B6 metabolism
K06217	Unknown	Unknown
K06221	Unknown	Unknown
K06223	map03430	Mismatch repair
K06238	map04974	Protein digestion and absorption
K06286	Unknown	Unknown
K06287	Unknown	Unknown
K06346	Unknown	Unknown
K06381	Unknown	Unknown
K06400	Unknown	Unknown
K06409	Unknown	Unknown
K06412	Unknown	Unknown
K06442	Unknown	Unknown
K06518	Unknown	Unknown
K06595	map02030	Bacterial chemotaxis
K06603	map02040	Flagellar assembly
K06726	map02010	ABC transporters
K06861	map02010	ABC transporters
K06871	Unknown	Unknown
K06872	Unknown	Unknown
K06878	Unknown	Unknown
K06881	Unknown	Unknown
K06885	Unknown	Unknown
K06889	Unknown	Unknown
K06890	Unknown	Unknown
K06894	Unknown	Unknown
K06896	Unknown	Unknown
K06900	Unknown	Unknown
K06901	Unknown	Unknown
K06910	Unknown	Unknown
K06919	Unknown	Unknown
K06925	Unknown	Unknown
K06926	Unknown	Unknown
K06941	Unknown	Unknown
K06942	Unknown	Unknown
K06948	Unknown	Unknown
K06949	Unknown	Unknown
K06950	Unknown	Unknown
K06958	Unknown	Unknown
K06959	Unknown	Unknown
K06960	Unknown	Unknown
K06962	Unknown	Unknown
K06967	Unknown	Unknown
K06969	Unknown	Unknown
K06972	Unknown	Unknown
K06973	Unknown	Unknown
K06975	Unknown	Unknown
K06994	Unknown	Unknown
K06997	Unknown	Unknown
K06999	Unknown	Unknown
K07000	Unknown	Unknown
K07003	Unknown	Unknown
K07004	Unknown	Unknown
K07006	Unknown	Unknown
K07007	Unknown	Unknown
K07009	Unknown	Unknown
K07011	Unknown	Unknown
K07012	Unknown	Unknown
K07015	Unknown	Unknown
K07021	Unknown	Unknown
K07023	Unknown	Unknown
K07024	Unknown	Unknown
K07025	Unknown	Unknown
K07027	Unknown	Unknown
K07029	Unknown	Unknown
K07030	Unknown	Unknown
K07033	Unknown	Unknown
K07037	Unknown	Unknown
K07040	Unknown	Unknown
K07042	Unknown	Unknown
K07043	map00240	Pyrimidine metabolism
K07046	Unknown	Unknown
K07052	Unknown	Unknown
K07053	Unknown	Unknown
K07056	Unknown	Unknown
K07058	Unknown	Unknown
K07067	Unknown	Unknown
K07080	Unknown	Unknown
K07082	Unknown	Unknown
K07085	Unknown	Unknown
K07088	Unknown	Unknown
K07089	Unknown	Unknown
K07090	Unknown	Unknown
K07095	Unknown	Unknown
K07098	Unknown	Unknown
K07099	Unknown	Unknown
K07105	Unknown	Unknown
K07107	Unknown	Unknown
K07112	Unknown	Unknown
K07114	Unknown	Unknown
K07124	Unknown	Unknown
K07126	Unknown	Unknown
K07133	Unknown	Unknown
K07137	Unknown	Unknown
K07139	Unknown	Unknown
K07164	Unknown	Unknown
K07166	Unknown	Unknown
K07177	Unknown	Unknown
K07183	Unknown	Unknown
K07220	Unknown	Unknown
K07221	Unknown	Unknown
K07230	Unknown	Unknown
K07239	Unknown	Unknown
K07240	Unknown	Unknown
K07243	Unknown	Iron acquisition
K07258	map00550	Peptidoglycan biosynthesis
K07259	map00550	Peptidoglycan biosynthesis
K07263	Unknown	Unknown
K07271	Unknown	Unknown
K07272	Unknown	Unknown
K07273	Unknown	Unknown
K07277	Unknown	Unknown
K07284	Unknown	Unknown
K07315	Unknown	Unknown
K07316	Unknown	Unknown
K07317	Unknown	Unknown
K07322	Unknown	Unknown
K07335	Unknown	Unknown
K07339	Unknown	Unknown
K07386	Unknown	Unknown
K07387	Unknown	Unknown
K07391	Unknown	Unknown
K07403	Unknown	Unknown
K07404	map00030	Pentose phosphate pathway
K07405	map00500	Starch and sucrose metabolism
K07407	map00603	Glycosphingolipid biosynthesis - globo series
K07442	Unknown	Unknown
K07444	Unknown	Unknown
K07447	Unknown	Unknown
K07456	map03430	Mismatch repair
K07459	Unknown	Unknown
K07461	Unknown	Unknown
K07462	map03440	Homologous recombination
K07467	Unknown	Unknown
K07473	Unknown	Unknown
K07478	Unknown	Unknown
K07481	Unknown	Unknown
K07482	Unknown	Unknown
K07483	Unknown	Unknown
K07484	Unknown	Unknown
K07486	Unknown	Unknown
K07487	Unknown	Unknown
K07491	Unknown	Unknown
K07493	Unknown	Unknown
K07495	Unknown	Unknown
K07496	Unknown	Unknown
K07497	Unknown	Unknown
K07498	Unknown	Unknown
K07503	Unknown	Unknown
K07507	Unknown	Unknown
K07533	Unknown	Unknown
K07560	Unknown	Unknown
K07566	Unknown	Unknown
K07567	Unknown	Unknown
K07568	Unknown	Unknown
K07570	Unknown	Unknown
K07571	Unknown	Unknown
K07574	Unknown	Unknown
K07584	Unknown	Unknown
K07588	Unknown	Unknown
K07636	map02020	Two-component system
K07652	map02020	Two-component system
K07657	map02020	Two-component system
K07658	map02020	Two-component system
K07661	map02020	Two-component system
K07668	map02020	Two-component system
K07670	map02020	Two-component system
K07704	map02020	Two-component system
K07705	map02020	Two-component system
K07706	map02020	Two-component system
K07707	map02020	Two-component system
K07713	map02020	Two-component system
K07729	Unknown	Unknown
K07736	Unknown	Unknown
K07737	Unknown	Unknown
K07738	Unknown	Unknown
K07741	Unknown	Unknown
K07742	Unknown	Unknown
K07757	Unknown	Unknown
K07768	map02020	Two-component system
K07775	map02020	Two-component system
K07799	map02020	Two-component system
K07814	Unknown	Unknown
K07816	map00230	Purine metabolism
K07862	Unknown	Unknown
K07979	Unknown	Unknown
K08070	Unknown	Unknown
K08094	map00680	Methane metabolism
K08156	Unknown	Unknown
K08161	Unknown	Multidrug resistance - efflux pump
K08168	Unknown	Unknown
K08177	Unknown	Unknown
K08217	Unknown	Unknown
K08218	Unknown	Unknown
K08252	Unknown	Unknown
K08259	Unknown	Unknown
K08282	Unknown	Unknown
K08286	Unknown	Unknown
K08289	map00670	One carbon pool by folate
K08300	map03018	RNA degradation
K08301	Unknown	Unknown
K08303	map05120	Type I collagen degradation
K08309	Unknown	Unknown
K08316	Unknown	Unknown
K08368	Unknown	Unknown
K08369	Unknown	Unknown
K08372	map02020	Two-component system
K08483	map02060	Phosphotransferase system (PTS)
K08590	Unknown	Unknown
K08591	map00564	Glycerophospholipid metabolism
K08602	Unknown	Unknown
K08659	Unknown	Unknown
K08681	map00750	Vitamin B6 metabolism
K08722	map00760	Nicotinate and nicotinamide metabolism
K08724	map00550	Peptidoglycan biosynthesis
K08728	map00240	Pyrimidine metabolism
K08884	Unknown	Unknown
K08963	map00270	Cysteine and methionine metabolism
K08986	Unknown	Unknown
K08998	Unknown	Unknown
K09013	Unknown	Unknown
K09014	Unknown	Unknown
K09015	Unknown	Unknown
K09117	Unknown	Unknown
K09118	Unknown	Unknown
K09124	Unknown	Unknown
K09136	Unknown	Unknown
K09153	Unknown	Unknown
K09155	Unknown	Unknown
K09157	Unknown	Unknown
K09384	Unknown	Unknown
K09457	Unknown	Unknown
K09458	map00061	Fatty acid biosynthesis
K09474	map02020	Two-component system
K09516	map00830	Retinol metabolism
K09650	Unknown	Unknown
K09681	Unknown	Unknown
K09685	Unknown	Unknown
K09686	map02010	ABC transporters
K09687	map02010	ABC transporters
K09690	map02010	ABC transporters
K09691	map02010	ABC transporters
K09692	map02010	ABC transporters
K09698	map00970	Aminoacyl-tRNA biosynthesis
K09704	Unknown	Unknown
K09710	Unknown	Unknown
K09747	Unknown	Unknown
K09748	Unknown	Unknown
K09749	Unknown	Unknown
K09760	Unknown	Unknown
K09761	Unknown	Unknown
K09762	Unknown	Unknown
K09769	Unknown	Unknown
K09770	Unknown	Unknown
K09772	Unknown	Unknown
K09773	Unknown	Unknown
K09777	Unknown	Unknown
K09787	Unknown	Unknown
K09797	Unknown	Unknown
K09800	Unknown	Unknown
K09803	Unknown	Unknown
K09808	map02010	ABC transporters
K09811	map02010	ABC transporters
K09812	map02010	ABC transporters
K09815	map02010	ABC transporters
K09816	map02010	ABC transporters
K09817	map02010	ABC transporters
K09819	Unknown	Unknown
K09820	Unknown	Unknown
K09825	Unknown	Unknown
K09888	Unknown	Unknown
K09903	map00240	Pyrimidine metabolism
K09949	Unknown	Unknown
K09952	Unknown	Unknown
K09963	Unknown	Unknown
K10005	map02010	ABC transporters
K10006	map02010	ABC transporters
K10007	map02010	ABC transporters
K10008	map02010	ABC transporters
K10026	Unknown	Unknown
K10036	map02010	ABC transporters
K10039	map02010	ABC transporters
K10040	map02010	ABC transporters
K10041	map02010	ABC transporters
K10108	map02030	Bacterial chemotaxis
K10109	map02010	ABC transporters
K10110	map02010	ABC transporters
K10112	map02010	ABC transporters
K10117	map02010	ABC transporters
K10118	map02010	ABC transporters
K10119	map02010	ABC transporters
K10200	map02010	ABC transporters
K10206	map00300	Lysine biosynthesis
K10231	Unknown	Unknown
K10243	map02010	ABC transporters
K10254	Unknown	Unknown
K10439	map02030	Bacterial chemotaxis
K10440	map02010	ABC transporters
K10441	map02010	ABC transporters
K10530	Unknown	Unknown
K10540	map02030	Bacterial chemotaxis
K10546	map02010	ABC transporters
K10547	map02010	ABC transporters
K10548	map02010	ABC transporters
K10563	map03410	Base excision repair
K10670	Unknown	Unknown
K10672	Unknown	Unknown
K10678	map00633	Nitrotoluene degradation
K10742	map03030	DNA replication
K10773	map03410	Base excision repair
K10793	map00330	Arginine and proline metabolism
K10794	map00330	Arginine and proline metabolism
K10819	Unknown	Unknown
K10834	Unknown	Unknown
K10907	Unknown	Unknown
K10974	Unknown	Unknown
K10975	Unknown	Unknown
K11031	map04621	Cytolysis
K11065	Unknown	Unknown
K11068	Unknown	Unknown
K11069	map02010	ABC transporters
K11070	map02010	ABC transporters
K11071	map02010	ABC transporters
K11072	map02010	ABC transporters
K11085	map02010	ABC transporters
K11102	Unknown	Unknown
K11144	Unknown	Unknown
K11145	Unknown	Unknown
K11175	map00670	One carbon pool by folate
K11189	Unknown	Unknown
K11203	Unknown	Unknown
K11263	map00061	Fatty acid biosynthesis
K11358	map00960	Alanine aspartate and glutamate metabolism
K11473	map00630	Glyoxylate and dicarboxylate metabolism
K11475	Unknown	Unknown
K11533	map00061	Fatty acid biosynthesis
K11688	map02020	Two-component system
K11707	map02010	ABC transporters
K11717	map00730	Thiamine metabolism
K11720	map02010	ABC transporters
K11749	Unknown	Iron acquisition
K11752	map00740	Riboflavin metabolism
K11753	map00740	Riboflavin metabolism
